OBJECTID,Municipio,COD_INE,POB_2011,POB_2010,POB_2009,POB_2008,POB_2007,POB_2006,POB_2005,POB_2004,POB_2003,POB_2002,POB_2001,POB_2000,Shape_Length,Shape_Area
1,Álora,29012,13499.000000000000000,13474.000000000000000,13395.000000000000000,13436.000000000000000,13307.000000000000000,13204.000000000000000,13013.000000000000000,12838.000000000000000,12739.000000000000000,12538.000000000000000,12471.000000000000000,12509.000000000000000,58433.138877150603000,169262299.219470410000000
2,Ronda,29084,36793.000000000000000,36909.000000000000000,36827.000000000000000,36532.000000000000000,36122.000000000000000,35836.000000000000000,35512.000000000000000,34948.000000000000000,35137.000000000000000,34470.000000000000000,34214.000000000000000,34021.000000000000000,156069.619194621710000,480869643.416516540000000
3,Pinar (El),18910,1009.000000000000000,1011.000000000000000,1039.000000000000000,1052.000000000000000,1067.000000000000000,1088.000000000000000,1125.000000000000000,1119.000000000000000,1136.000000000000000,1176.000000000000000,1182.000000000000000,1198.000000000000000,36834.523763234531000,37905906.441549070000000
4,Almegíjar,18016,427.000000000000000,401.000000000000000,392.000000000000000,409.000000000000000,412.000000000000000,421.000000000000000,435.000000000000000,445.000000000000000,405.000000000000000,396.000000000000000,414.000000000000000,427.000000000000000,28187.872203378818000,29321860.241979152000000
5,Carataunas,18043,200.000000000000000,195.000000000000000,192.000000000000000,197.000000000000000,203.000000000000000,200.000000000000000,198.000000000000000,204.000000000000000,202.000000000000000,201.000000000000000,195.000000000000000,196.000000000000000,12786.628830223006000,4647970.389142271100000
6,Bornos,11010,8107.000000000000000,8109.000000000000000,8134.000000000000000,8123.000000000000000,8131.000000000000000,8140.000000000000000,8164.000000000000000,8082.000000000000000,8064.000000000000000,7987.000000000000000,7979.000000000000000,7897.000000000000000,31657.970765633319000,54406141.211655244000000
7,Terque,04091,455.000000000000000,464.000000000000000,457.000000000000000,456.000000000000000,472.000000000000000,440.000000000000000,464.000000000000000,457.000000000000000,470.000000000000000,463.000000000000000,456.000000000000000,430.000000000000000,19702.432877742009000,8362182.353416419600000
8,Órgiva,18147,5756.000000000000000,5789.000000000000000,5659.000000000000000,5640.000000000000000,5508.000000000000000,5460.000000000000000,5370.000000000000000,5175.000000000000000,5152.000000000000000,5067.000000000000000,5038.000000000000000,5035.000000000000000,55062.066047404449000,133924540.085446980000000
9,Murtas,18141,648.000000000000000,658.000000000000000,682.000000000000000,710.000000000000000,742.000000000000000,730.000000000000000,741.000000000000000,713.000000000000000,698.000000000000000,706.000000000000000,745.000000000000000,797.000000000000000,48637.401322995203000,71724982.947025046000000
10,Cuervo de Sevilla (El),41903,8660.000000000000000,8673.000000000000000,8562.000000000000000,8489.000000000000000,8410.000000000000000,8301.000000000000000,8130.000000000000000,7918.000000000000000,7801.000000000000000,7747.000000000000000,7713.000000000000000,7743.000000000000000,30741.518921523635000,31090945.281876147000000
11,Viator,04101,5313.000000000000000,5043.000000000000000,4860.000000000000000,4689.000000000000000,4448.000000000000000,4288.000000000000000,3950.000000000000000,3872.000000000000000,3793.000000000000000,3617.000000000000000,3634.000000000000000,3567.000000000000000,19638.394674675856000,20806013.611351140000000
12,Felix,04043,661.000000000000000,643.000000000000000,654.000000000000000,675.000000000000000,626.000000000000000,513.000000000000000,534.000000000000000,564.000000000000000,557.000000000000000,566.000000000000000,562.000000000000000,571.000000000000000,40724.267113826056000,81090685.037211239000000
